name,value
BPM,120
BeatA,4
BeatB,4
EditAudioClip,测试音乐-关卡音乐
EditAudioClipVolume,1
DefaultAudioClip,YinXiao-JieMian-JiChuAnJian001
DefaultAudioVolume,1
LoseAudioClip,测试音效-回答错误
DownSucceedAudioClip,测试音效-占位下
UpSucceedAudioClip,测试音效-占位上
LeftSucceedAudioClip,测试音效-左滑回答
RightSucceedAudioClip,测试音效-右滑回答
ClickSucceedAudioClip,测试音效-单击回答
DownTipsAudioClip,测试音效-占位下
UpTipsAudioClip,测试音效-占位上
LeftTipsAudioClip,测试音效-左滑提问
RightTipsAudioClip,测试音效-右滑提问
ClickTipsAudioClip,测试音效-单击提问
TipOffset,1
TimeOfExistence,1
ThisTime,27.57
MainAudioOffset,0
TipOffsetSwipeUp,-0.1
TipOffsetSwipeDown,0
TipOffsetSwipeLeft,0
TipOffsetSwipeRight,0
TipOffsetClick,0
