drumCode,time,laneIndex,laneName,type,existence,tipOffset,preTipClip,succeedClip,loseClip,preTipVol,succeedVol,loseVol
002114,2.11,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
004324,4.32,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
006824,6.82,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
009104,9.10,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
011534,11.53,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
013814,13.81,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
016154,16.15,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
018414,18.41,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
020784,20.78,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
023104,23.10,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
025464,25.46,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
027734,27.73,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
030134,30.13,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
032454,32.45,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
034884,34.88,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
037164,37.16,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
039514,39.51,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
041884,41.88,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
044204,44.20,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
046104,46.10,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
048754,48.75,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
051224,51.22,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
053554,53.55,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
055894,55.89,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
058204,58.20,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
060564,60.56,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
062884,62.88,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
065134,65.13,4,4,4,0.25,0.30,测试音效-占位上,YinXiao-JieMian-JiChuAnJian001,YinXiao-GuanQiaNei-JiaoHu003,1,1,1
