name,value
BPM,1
BeatA,4
BeatB,4
EditAudioClip,YinYue-CeShi-JianGeXing001
EditAudioClipVolume,1
DefaultAudioClip,YinXiao-GuanQiaNei-JiaoHu002
DefaultAudioVolume,1
LoseAudioClip,YinXiao-GuanQiaNei-JiaoHu003
DownSucceedAudioClip,测试音效-占位下
UpSucceedAudioClip,测试音效-占位上
LeftSucceedAudioClip,测试音效-左滑回答
RightSucceedAudioClip,测试音效-右滑回答
ClickSucceedAudioClip,YinXiao-JieMian-JiChuAnJian001
DownTipsAudioClip,测试音效-占位下
UpTipsAudioClip,测试音效-占位上
LeftTipsAudioClip,测试音效-左滑提问
RightTipsAudioClip,测试音效-右滑提问
ClickTipsAudioClip,
TipOffset,0.3
TimeOfExistence,0.25
ThisTime,2.58
MainAudioOffset,
TipOffsetSwipeUp,
TipOffsetSwipeDown,
TipOffsetSwipeLeft,
TipOffsetSwipeRight,
TipOffsetClick,
